i,j,name_i,name_j,distance_m,rssi_dbm,per,adjacent
0,1,0,1,14.1421,-71.3674,0,1
0,2,0,2,115.313,-112.801,1,0
0,3,0,3,362.829,-111.683,1,0
0,4,0,4,630.052,-124.966,1,0
0,5,0,5,970.152,-91.4176,0,1
0,6,0,6,1481.39,-100.215,0.0015,1
0,7,0,7,38.2099,-75.413,0,1
0,8,0,8,58.8982,-107.04,1,0
0,9,0,9,77.1557,-75.2938,0,1
0,10,0,10,99.7647,-81.0993,0,1
0,11,0,11,125.252,-77.3254,0,1
0,12,0,12,147.187,-90.8968,0,1
0,13,0,13,173.358,-83.9055,0,1
0,14,0,14,208.01,-93.5543,0,1
0,15,0,15,234.293,-92.8938,0,1
0,16,0,16,250.639,-106.447,1,0
0,17,0,17,269.676,-96.1637,0,1
0,18,0,18,287.367,-118.267,1,0
0,19,0,19,319.081,-103.307,0.15,1
0,20,0,20,347.922,-116.358,1,0
0,21,0,21,369.899,-99.8056,0.0015,1
0,22,0,22,397.434,-96.1925,0,1
0,23,0,23,425.763,-111.668,1,0
0,24,0,24,457.542,-105.867,1,0
0,25,0,25,487.222,-93.6088,0,1
0,26,0,26,513.361,-103.623,0.4,1
0,27,0,27,541.66,-121.475,1,0
0,28,0,28,565.701,-95.911,0,1
0,29,0,29,591.156,-88.2058,0,1
0,30,0,30,619.427,-108.893,1,0
0,31,0,31,647.716,-114.723,1,0
0,32,0,32,670.433,-124.762,1,0
0,33,0,33,689.534,-105.14,0.8,0
0,34,0,34,717.207,-107.077,1,0
0,35,0,35,739.024,-111.397,1,0
0,36,0,36,768.719,-106.62,1,0
0,37,0,37,790.069,-95.245,0,1
0,38,0,38,812.69,-127.44,1,0
0,39,0,39,839.422,-98.0799,0,1
0,40,0,40,857.055,-121.472,1,0
0,41,0,41,883.894,-122.634,1,0
0,42,0,42,909.449,-119.491,1,0
0,43,0,43,938.363,-129.854,1,0
0,44,0,44,965.207,-123.479,1,0
0,45,0,45,981.473,-104.051,0.4,1
0,46,0,46,999.142,-95.3808,0,1
0,47,0,47,1022.49,-119.562,1,0
0,48,0,48,1055.03,-112.868,1,0
0,49,0,49,1083.33,-127.427,1,0
0,50,0,50,1103.8,-127.135,1,0
0,51,0,51,1129.3,-128.517,1,0
0,52,0,52,1148.45,-126.044,1,0
0,53,0,53,1180.25,-96.5175,0,1
0,54,0,54,1214.91,-126.551,1,0
0,55,0,55,1242.41,-95.1237,0,1
0,56,0,56,1261.49,-104.616,0.8,0
0,57,0,57,1281.29,-100.622,0.006,1
0,58,0,58,1310.31,-96.3934,0,1
0,59,0,59,1339.98,-129.344,1,0
0,60,0,60,1369.7,-121.23,1,0
0,61,0,61,1393.84,-98.4943,0,1
0,62,0,62,1418.49,-118.435,1,0
0,63,0,63,1443.93,-111.711,1,0
0,64,0,64,1466.55,-121.868,1,0
0,65,0,65,1497.65,-133.5,1,0
0,66,0,66,1529.48,-111.839,1,0
0,67,0,67,1559.88,-116.865,1,0
0,68,0,68,1583.24,-103.569,0.4,1
0,69,0,69,1607.27,-123.473,1,0
0,70,0,70,1627.81,-107.493,1,0
0,71,0,71,1648.29,-108.638,1,0
0,72,0,72,1665.25,-101.791,0.03,1
0,73,0,73,1685.77,-123.672,1,0
0,74,0,74,1711.98,-127.679,1,0
0,75,0,DSO,14.1421,-88.0715,0,1
0,76,0,Market,14.1421,-71.1881,0,1
1,2,1,2,101.178,-72.5095,0,1
1,3,1,3,348.69,-83.8919,0,1
1,4,1,4,615.91,-117.472,1,0
1,5,1,5,956.009,-116.247,1,0
1,6,1,6,1467.25,-134.561,1,0
1,7,1,7,24.0832,-85.7359,0,1
1,8,1,8,44.8219,-94.6326,0,1
1,9,1,9,63.0317,-79.6072,0,1
1,10,1,10,85.6329,-81.5468,0,1
1,11,1,11,111.212,-90.4446,0,1
1,12,1,12,133.056,-105.728,1,0
1,13,1,13,159.226,-84.6015,0,1
1,14,1,14,193.876,-81.5557,0,1
1,15,1,15,220.166,-81.4658,0,1
1,16,1,16,236.516,-97.0692,0,1
1,17,1,17,255.548,-98.5952,0,1
1,18,1,18,273.24,-116.751,1,0
1,19,1,19,304.948,-85.2076,0,1
1,20,1,20,333.781,-93.89,0,1
1,21,1,21,355.76,-118.834,1,0
1,22,1,22,383.294,-94.8579,0,1
1,23,1,23,411.624,-88.7458,0,1
1,24,1,24,443.402,-89.8133,0,1
1,25,1,25,473.08,-106.167,1,0
1,26,1,26,499.219,-86.4167,0,1
1,27,1,27,527.519,-89.4659,0,1
1,28,1,28,551.56,-113.661,1,0
1,29,1,29,577.015,-123.574,1,0
1,30,1,30,605.285,-95.7805,0,1
1,31,1,31,633.574,-124.13,1,0
1,32,1,32,656.293,-98.64,0,1
1,33,1,33,675.394,-100.225,0.0015,1
1,34,1,34,703.069,-108.279,1,0
1,35,1,35,724.884,-112.257,1,0
1,36,1,36,754.579,-91.3648,0,1
1,37,1,37,775.931,-112.109,1,0
1,38,1,38,798.552,-112.687,1,0
1,39,1,39,825.281,-114.566,1,0
1,40,1,40,842.914,-96.061,0,1
1,41,1,41,869.752,-128.726,1,0
1,42,1,42,895.309,-114.288,1,0
1,43,1,43,924.221,-101.431,0.03,1
1,44,1,44,951.065,-119.231,1,0
1,45,1,45,967.331,-100.628,0.006,1
1,46,1,46,985,-95.6383,0,1
1,47,1,47,1008.34,-113.086,1,0
1,48,1,48,1040.89,-108.587,1,0
1,49,1,49,1069.19,-130.255,1,0
1,50,1,50,1089.66,-120.198,1,0
1,51,1,51,1115.16,-112.345,1,0
1,52,1,52,1134.31,-109.338,1,0
1,53,1,53,1166.11,-114.635,1,0
1,54,1,54,1200.77,-95.2635,0,1
1,55,1,55,1228.27,-124.081,1,0
1,56,1,56,1247.34,-115.032,1,0
1,57,1,57,1267.15,-95.5466,0,1
1,58,1,58,1296.17,-120.481,1,0
1,59,1,59,1325.83,-99.7246,0.0015,1
1,60,1,60,1355.55,-114.914,1,0
1,61,1,61,1379.7,-126.168,1,0
1,62,1,62,1404.35,-132.409,1,0
1,63,1,63,1429.79,-95.9737,0,1
1,64,1,64,1452.4,-118.38,1,0
1,65,1,65,1483.51,-130.427,1,0
1,66,1,66,1515.34,-131.422,1,0
1,67,1,67,1545.74,-117.09,1,0
1,68,1,68,1569.1,-101.088,0.006,1
1,69,1,69,1593.12,-113.64,1,0
1,70,1,70,1613.67,-101.404,0.03,1
1,71,1,71,1634.15,-131.627,1,0
1,72,1,72,1651.11,-128.327,1,0
1,73,1,73,1671.63,-111.242,1,0
1,74,1,74,1697.84,-112.181,1,0
1,75,1,DSO,28.2843,-82.2441,0,1
1,76,1,Market,28.2843,-67.3213,0,1
2,3,2,3,247.524,-105.64,1,0
2,4,2,4,514.844,-123.01,1,0
2,5,2,5,854.906,-104.765,0.8,0
2,6,2,6,1366.13,-108.297,1,0
2,7,2,7,77.1038,-92.2581,0,1
2,8,2,8,57.2014,-96.8568,0,1
2,9,2,9,38.833,-88.9737,0,1
2,10,2,10,15.5563,-84.5543,0,1
2,11,2,11,14.0357,-59.6735,0,1
2,12,2,12,31.8904,-97.0817,0,1
2,13,2,13,58.0517,-94.5607,0,1
2,14,2,14,92.6984,-95.9645,0,1
2,15,2,15,119.004,-99.0974,0,1
2,16,2,16,135.37,-104.344,0.4,1
2,17,2,17,154.383,-89.6057,0,1
2,18,2,18,172.073,-90.3464,0,1
2,19,2,19,203.769,-108.388,1,0
2,20,2,20,232.639,-89.807,0,1
2,21,2,21,254.594,-94.0544,0,1
2,22,2,22,282.144,-116.521,1,0
2,23,2,23,310.459,-111.628,1,0
2,24,2,24,342.251,-99.4868,0.0015,1
2,25,2,25,371.941,-118.339,1,0
2,26,2,26,398.107,-122.27,1,0
2,27,2,27,426.386,-84.739,0,1
2,28,2,28,450.494,-111.288,1,0
2,29,2,29,475.883,-105.151,0.8,0
2,30,2,30,504.172,-110.596,1,0
2,31,2,31,532.489,-89.1541,0,1
2,32,2,32,555.277,-91.1562,0,1
2,33,2,33,574.381,-118.338,1,0
2,34,2,34,602.097,-125.249,1,0
2,35,2,35,623.862,-90.1407,0,1
2,36,2,36,653.552,-105.978,1,0
2,37,2,37,674.959,-102.474,0.15,1
2,38,2,38,697.574,-111.684,1,0
2,39,2,39,724.244,-126.547,1,0
2,40,2,40,741.852,-105.408,1,0
2,41,2,41,768.664,-104.583,0.8,0
2,42,2,42,794.278,-99.1567,0,1
2,43,2,43,823.15,-120.503,1,0
2,44,2,44,849.972,-126.399,1,0
2,45,2,45,866.241,-121.293,1,0
2,46,2,46,883.894,-113.551,1,0
2,47,2,47,907.218,-102.885,0.15,1
2,48,2,48,939.752,-91.2513,0,1
2,49,2,49,968.05,-122.304,1,0
2,50,2,50,988.536,-116.262,1,0
2,51,2,51,1014.02,-97.9143,0,1
2,52,2,52,1033.15,-105.025,0.8,0
2,53,2,53,1064.96,-115.368,1,0
2,54,2,54,1099.62,-113.583,1,0
2,55,2,55,1127.14,-93.0761,0,1
2,56,2,56,1146.22,-128.299,1,0
2,57,2,57,1166.02,-121.372,1,0
2,58,2,58,1195.03,-107.515,1,0
2,59,2,59,1224.71,-112.263,1,0
2,60,2,60,1254.42,-129.986,1,0
2,61,2,61,1278.54,-124.394,1,0
2,62,2,62,1303.21,-118.911,1,0
2,63,2,63,1328.66,-112.84,1,0
2,64,2,64,1351.28,-94.924,0,1
2,65,2,65,1382.4,-105.249,0.8,0
2,66,2,66,1414.21,-131.864,1,0
2,67,2,67,1444.62,-128.139,1,0
2,68,2,68,1468.01,-122.647,1,0
2,69,2,69,1492.03,-117.205,1,0
2,70,2,70,1512.59,-135.164,1,0
2,71,2,71,1533.06,-98.1906,0,1
2,72,2,72,1550.02,-102.377,0.15,1
2,73,2,73,1570.54,-114.496,1,0
2,74,2,74,1596.77,-101.226,0.006,1
2,75,2,DSO,129.449,-103.629,0.4,1
2,76,2,Market,129.449,-111.222,1,0
3,4,3,4,267.589,-87.9038,0,1
3,5,3,5,607.474,-115.219,1,0
3,6,3,6,1118.67,-111.223,1,0
3,7,3,7,324.624,-84.5438,0,1
3,8,3,8,304.322,-90.5574,0,1
3,9,3,9,285.895,-111.019,1,0
3,10,3,10,263.078,-100.408,0.006,1
3,11,3,11,238.38,-109.377,1,0
3,12,3,12,215.678,-86.6951,0,1
3,13,3,13,189.51,-114.15,1,0
3,14,3,14,154.858,-77.447,0,1
3,15,3,15,128.725,-102.33,0.03,1
3,16,3,16,112.539,-93.4567,0,1
